Statistical profiling result from isolate-0x27a84f0-v8.log, (318526 ticks, 117308 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  Function: ~isTerminal /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/server.js:498:20
      2    0.0%    0.0%  Function: ~copyState /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/server.js:457:19
      2    0.0%    0.0%  Function: ~Module._findPath module.js:174:28
      2    0.0%    0.0%  Builtin: StringCharCodeAt
      2    0.0%    0.0%  Builtin: HandleApiCall
      1    0.0%    0.0%  Stub: RecordWriteStub {2}
      1    0.0%    0.0%  Stub: RecordWriteStub {1}
      1    0.0%    0.0%  Stub: RecordWriteStub
      1    0.0%    0.0%  Stub: GetPropertyStub
      1    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot
      1    0.0%    0.0%  Handler: An IC handler from the snapshot
      1    0.0%    0.0%  Function: ~stat module.js:47:14
      1    0.0%    0.0%  Function: ~set native collection.js:149:4
      1    0.0%    0.0%  Function: ~resolve path.js:1171:28
      1    0.0%    0.0%  Function: ~realpathSync fs.js:1571:40
      1    0.0%    0.0%  Function: ~readPackage module.js:105:21
      1    0.0%    0.0%  Function: ~parserOnHeadersComplete _http_common.js:63:33
      1    0.0%    0.0%  Function: ~onwriteDrain _stream_writable.js:461:22
      1    0.0%    0.0%  Function: ~makeRequireFunction internal/module.js:5:29
      1    0.0%    0.0%  Function: ~getScoreOf /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/server.js:560:20
      1    0.0%    0.0%  Function: ~fs.readFileSync fs.js:548:27
      1    0.0%    0.0%  Function: ~dirname path.js:1363:28
      1    0.0%    0.0%  Function: ~createUnsafeBuffer buffer.js:86:28
      1    0.0%    0.0%  Function: ~createTimersList timers.js:187:26
      1    0.0%    0.0%  Function: ~clear internal/process/next_tick.js:42:8
      1    0.0%    0.0%  Function: ~callSiteLocation /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/node_modules/depd/index.js:249:27
      1    0.0%    0.0%  Function: ~assertSize buffer.js:210:20
      1    0.0%    0.0%  Function: ~args internal/util/types.js:11:10
      1    0.0%    0.0%  Function: ~afterWrite net.js:855:20
      1    0.0%    0.0%  Function: ~_makeLong path.js:1358:32
      1    0.0%    0.0%  Function: ~Writable.write _stream_writable.js:264:36
      1    0.0%    0.0%  Function: ~TickObject internal/process/next_tick.js:234:16
      1    0.0%    0.0%  Function: ~StackPush native array.js:80:19
      1    0.0%    0.0%  Function: ~Module._resolveFilename module.js:506:35
      1    0.0%    0.0%  Function: ~Module._extensions..js module.js:644:37
      1    0.0%    0.0%  Function: ~MapFindEntry native collection.js:39:22
      1    0.0%    0.0%  Function: ~IncomingMessage _http_incoming.js:38:25
      1    0.0%    0.0%  Function: ~GetExistingHash native collection.js:69:25
      1    0.0%    0.0%  Builtin: StringPrototypeSlice
      1    0.0%    0.0%  Builtin: StringPrototypeIndexOf
      1    0.0%    0.0%  Builtin: StoreICStrict_Uninitialized
      1    0.0%    0.0%  Builtin: ObjectCreate
      1    0.0%    0.0%  Builtin: MapLookupHashIndex
      1    0.0%    0.0%  Builtin: LoadIC_Uninitialized
      1    0.0%    0.0%  Builtin: LoadIC_Noninlined
      1    0.0%    0.0%  Builtin: LoadICProtoArray

 [C++]:
   ticks  total  nonlib   name
   6309    2.0%    2.1%  v8::internal::PagedSpace::Available()
   4821    1.5%    1.6%  v8::internal::Heap::Scavenge()
   3292    1.0%    1.1%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
   2619    0.8%    0.9%  v8::internal::ScavengeWeakObjectRetainer::RetainAs(v8::internal::Object*)
   2617    0.8%    0.9%  v8::internal::Heap::AllocateFixedArrayWithFiller(int, v8::internal::PretenureFlag, v8::internal::Object*)
   2590    0.8%    0.9%  v8::internal::Factory::NewJSArrayStorage(v8::internal::Handle<v8::internal::JSArray>, int, int, v8::internal::ArrayStorageAllocationMode)
   2485    0.8%    0.8%  v8::internal::Heap::AllocateJSObjectFromMap(v8::internal::Map*, v8::internal::PretenureFlag, v8::internal::AllocationSite*)
   1996    0.6%    0.7%  v8::internal::Factory::NewJSArray(v8::internal::ElementsKind, int, int, v8::internal::ArrayStorageAllocationMode, v8::internal::PretenureFlag)
   1489    0.5%    0.5%  v8::internal::Heap::InitializeJSObjectBody(v8::internal::JSObject*, v8::internal::Map*, int)
   1408    0.4%    0.5%  v8::internal::Factory::NewUninitializedFixedArray(int)
   1364    0.4%    0.5%  v8::internal::Object* v8::internal::VisitWeakList<v8::internal::JSFunction>(v8::internal::Heap*, v8::internal::Object*, v8::internal::WeakObjectRetainer*)
   1155    0.4%    0.4%  v8::internal::Bitmap::Clear()
   1107    0.3%    0.4%  v8::internal::Factory::NewJSObjectFromMap(v8::internal::Handle<v8::internal::Map>, v8::internal::PretenureFlag, v8::internal::Handle<v8::internal::AllocationSite>)
    771    0.2%    0.3%  v8::internal::JSObject::GetElementsAccessor()
    627    0.2%    0.2%  v8::internal::Scavenger::ScavengeObject(v8::internal::HeapObject**, v8::internal::HeapObject*)
    588    0.2%    0.2%  v8::internal::Heap::AllocateRawFixedArray(int, v8::internal::PretenureFlag)
    544    0.2%    0.2%  v8::internal::Builtin_ArraySlice(int, v8::internal::Object**, v8::internal::Isolate*)
    529    0.2%    0.2%  v8::internal::Isolate::get_initial_js_array_map(v8::internal::ElementsKind)
    435    0.1%    0.1%  v8::internal::Heap::RecordWrite(v8::internal::Object*, int, v8::internal::Object*)
    369    0.1%    0.1%  v8::internal::GCTracer::Start(v8::internal::GarbageCollector, v8::internal::GarbageCollectionReason, char const*)
    332    0.1%    0.1%  v8::internal::Scavenger::Process()
    322    0.1%    0.1%  v8::internal::SemiSpace::FixPagesFlags(long, long)
    310    0.1%    0.1%  v8::internal::NewSpace::UpdateAllocationInfo()
    198    0.1%    0.1%  __GI___pthread_mutex_lock
    193    0.1%    0.1%  v8::internal::RootScavengeVisitor::VisitRootPointer(v8::internal::Root, v8::internal::Object**)
    176    0.1%    0.1%  mmap
    143    0.0%    0.0%  v8::internal::ArrayBufferTracker::FreeDeadInNewSpace(v8::internal::Heap*)
    142    0.0%    0.0%  v8::internal::RootScavengeVisitor::VisitRootPointers(v8::internal::Root, v8::internal::Object**, v8::internal::Object**)
    138    0.0%    0.0%  v8::internal::Heap::CopyBlock(unsigned char*, unsigned char*, int)
    125    0.0%    0.0%  v8::internal::Runtime_AllocateInNewSpace(int, v8::internal::Object**, v8::internal::Isolate*)
    121    0.0%    0.0%  v8::internal::Heap::GarbageCollectionPrologue()
    105    0.0%    0.0%  v8::internal::StackFrame::ComputeType(v8::internal::StackFrameIteratorBase const*, v8::internal::StackFrame::State*)
    104    0.0%    0.0%  v8::internal::FixStaleLeftTrimmedHandlesVisitor::VisitRootPointers(v8::internal::Root, v8::internal::Object**, v8::internal::Object**)
     95    0.0%    0.0%  v8::internal::InnerPointerToCodeCache::GetCacheEntry(unsigned char*)
     95    0.0%    0.0%  __printf_fp
     93    0.0%    0.0%  node::NodePlatform::IdleTasksEnabled(v8::Isolate*)
     88    0.0%    0.0%  v8::internal::NewSpace::EnsureAllocation(int, v8::internal::AllocationAlignment)
     87    0.0%    0.0%  v8::internal::IdleScavengeObserver::Step(int, unsigned char*, unsigned long)
     86    0.0%    0.0%  v8::internal::V8::GetCurrentPlatform()
     86    0.0%    0.0%  _IO_vfprintf
     82    0.0%    0.0%  v8::internal::HeapObject::SizeFromMap(v8::internal::Map*) const
     80    0.0%    0.0%  v8::internal::SerializerDeserializer::Iterate(v8::internal::Isolate*, v8::internal::RootVisitor*)
     78    0.0%    0.0%  v8::internal::Heap::OnMoveEvent(v8::internal::HeapObject*, v8::internal::HeapObject*, int)
     71    0.0%    0.0%  v8::internal::CopiedRangesList::Insert(v8::internal::HeapObject*, int)
     68    0.0%    0.0%  v8::internal::NewSpace::UpdateInlineAllocationLimit(int)
     68    0.0%    0.0%  v8::internal::MemoryChunk::Initialize(v8::internal::Heap*, unsigned char*, unsigned long, unsigned char*, unsigned char*, v8::internal::Executability, v8::internal::Space*, v8::base::VirtualMemory*)
     65    0.0%    0.0%  void v8::internal::Heap::UpdateAllocationSite<(v8::internal::Heap::UpdateAllocationSiteMode)1>(v8::internal::Map*, v8::internal::HeapObject*, v8::base::PointerTemplateHashMapImpl<v8::base::DefaultAllocationPolicy>*)
     65    0.0%    0.0%  v8::internal::Heap::AllocateFillerObject(int, bool, v8::internal::AllocationSpace)
     62    0.0%    0.0%  v8::internal::NewSpace::AddFreshPage()
     60    0.0%    0.0%  __libc_malloc
     60    0.0%    0.0%  __clock_gettime
     58    0.0%    0.0%  v8::internal::StandardFrame::IterateCompiledFrame(v8::internal::RootVisitor*) const
     56    0.0%    0.0%  v8::internal::StoreBuffer::MoveEntriesToRememberedSet(int)
     53    0.0%    0.0%  v8::internal::Heap::PerformGarbageCollection(v8::internal::GarbageCollector, v8::GCCallbackFlags)
     50    0.0%    0.0%  v8::internal::ScavengeJob::ScheduleIdleTaskIfNeeded(v8::internal::Heap*, int)
     47    0.0%    0.0%  __GI___pthread_mutex_unlock
     46    0.0%    0.0%  munmap
     45    0.0%    0.0%  node::NodePlatform::MonotonicallyIncreasingTime()
     42    0.0%    0.0%  v8::internal::AllocationObserver::GetNextStepSize()
     40    0.0%    0.0%  v8::internal::IterateAndScavengePromotedObjectsVisitor::VisitPointers(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Object**)
     35    0.0%    0.0%  v8::internal::SafepointEntry::HasRegisters() const
     35    0.0%    0.0%  v8::internal::Heap::GarbageCollectionEpilogue()
     33    0.0%    0.0%  strlen
     32    0.0%    0.0%  v8::internal::NewSpace::ResetAllocationInfo()
     31    0.0%    0.0%  v8::internal::Heap::CreateFillerObjectAt(unsigned char*, int, v8::internal::ClearRecordedSlots)
     30    0.0%    0.0%  v8::internal::LocalAllocationBuffer::AllocateRawAligned(int, v8::internal::AllocationAlignment)
     29    0.0%    0.0%  v8::internal::PagedSpace::SizeOfObjects()
     28    0.0%    0.0%  v8::internal::Scavenger::RecordCopiedObject(v8::internal::HeapObject*)
     28    0.0%    0.0%  v8::internal::IncrementalMarking::Step(unsigned long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::IncrementalMarking::ForceCompletionAction, v8::internal::StepOrigin)
     27    0.0%    0.0%  v8::internal::StackFrameIterator::Advance()
     27    0.0%    0.0%  v8::internal::MarkCompactCollector::Sweeper::EnsureNewSpaceCompleted()
     26    0.0%    0.0%  v8::internal::Heap::ProcessPretenuringFeedback()
     25    0.0%    0.0%  v8::internal::NewSpace::Size()
     25    0.0%    0.0%  v8::internal::NewSpace::InlineAllocationStep(unsigned char*, unsigned char*, unsigned char*, unsigned long)
     25    0.0%    0.0%  v8::internal::Histogram::AddSample(int)
     25    0.0%    0.0%  cfree
     23    0.0%    0.0%  v8::internal::Heap::MergeAllocationSitePretenuringFeedback(v8::base::PointerTemplateHashMapImpl<v8::base::DefaultAllocationPolicy> const&)
     23    0.0%    0.0%  _init
     21    0.0%    0.0%  v8::internal::IncrementalMarking::WhiteToGreyAndPush(v8::internal::HeapObject*)
     21    0.0%    0.0%  v8::internal::HeapObject::set_map_word(v8::internal::MapWord)
     20    0.0%    0.0%  v8::internal::StackFrameIteratorBase::StackFrameIteratorBase(v8::internal::Isolate*, bool)
     18    0.0%    0.0%  v8::internal::Heap::CollectGarbage(v8::internal::AllocationSpace, v8::internal::GarbageCollectionReason, v8::GCCallbackFlags)
     18    0.0%    0.0%  v8::internal::Factory::NewFillerObject(int, bool, v8::internal::AllocationSpace)
     17    0.0%    0.0%  write
     17    0.0%    0.0%  v8::internal::Object* v8::internal::VisitWeakList<v8::internal::Context>(v8::internal::Heap*, v8::internal::Object*, v8::internal::WeakObjectRetainer*)
     17    0.0%    0.0%  v8::internal::Heap::GetFillToAlign(unsigned char*, v8::internal::AllocationAlignment)
     17    0.0%    0.0%  v8::internal::GCTracer::CurrentOldGenerationAllocationThroughputInBytesPerMillisecond() const
     17    0.0%    0.0%  uv_hrtime
     17    0.0%    0.0%  operator new(unsigned long)
     16    0.0%    0.0%  operator delete(void*)
     15    0.0%    0.0%  v8::internal::StackFrame::GetCallerState(v8::internal::StackFrame::State*) const
     15    0.0%    0.0%  v8::internal::PagedSpace::Waste()
     15    0.0%    0.0%  __GI___pthread_mutex_init
     15    0.0%    0.0%  _IO_default_xsputn
     14    0.0%    0.0%  v8::internal::Heap::MonotonicallyIncreasingTimeInMs()
     14    0.0%    0.0%  v8::internal::GCTracer::Scope::~Scope()
     12    0.0%    0.0%  v8::internal::GCTracer::Scope::Scope(v8::internal::GCTracer*, v8::internal::GCTracer::Scope::ScopeId)
     11    0.0%    0.0%  void v8::internal::BodyDescriptorApply<v8::internal::CallIterateBody, void, v8::internal::HeapObject*, int, v8::internal::ObjectVisitor*>(v8::internal::InstanceType, v8::internal::HeapObject*, int, v8::internal::ObjectVisitor*)
     11    0.0%    0.0%  v8::internal::StackFrameIterator::StackFrameIterator(v8::internal::Isolate*, v8::internal::ThreadLocalTop*)
     10    0.0%    0.0%  void std::swap<v8::internal::Page>(v8::internal::Page&, v8::internal::Page&)
     10    0.0%    0.0%  v8::internal::Space::CommittedMemory()
     10    0.0%    0.0%  v8::internal::NewSpace::CommittedMemory()
     10    0.0%    0.0%  v8::internal::JavaScriptFrame::Iterate(v8::internal::RootVisitor*) const
     10    0.0%    0.0%  v8::internal::IncrementalMarking::CanBeActivated()
     10    0.0%    0.0%  v8::internal::Heap::PromotedSpaceSizeOfObjects()
     10    0.0%    0.0%  v8::internal::GCTracer::Stop(v8::internal::GarbageCollector)
     10    0.0%    0.0%  v8::internal::GCTracer::ScavengeSpeedInBytesPerMillisecond(v8::internal::ScavengeSpeedMode) const
     10    0.0%    0.0%  __lll_lock_wait
      9    0.0%    0.0%  vsnprintf
      9    0.0%    0.0%  void v8::internal::FlexibleBodyDescriptor<16>::IterateBody<v8::internal::IncrementalMarkingMarkingVisitor>(v8::internal::HeapObject*, int, v8::internal::IncrementalMarkingMarkingVisitor*)
      9    0.0%    0.0%  void node::StreamBase::JSMethod<node::LibuvStreamWrap, &node::StreamBase::Writev>(v8::FunctionCallbackInfo<v8::Value> const&)
      9    0.0%    0.0%  v8::internal::ThreadManager::Iterate(v8::internal::RootVisitor*)
      9    0.0%    0.0%  v8::internal::Space::AllocationStep(unsigned char*, int)
      9    0.0%    0.0%  v8::internal::Scavenger::IterateAndScavengePromotedObject(v8::internal::HeapObject*, int)
      9    0.0%    0.0%  v8::internal::PagedSpace::PagedSpace(v8::internal::Heap*, v8::internal::AllocationSpace, v8::internal::Executability)
      9    0.0%    0.0%  v8::internal::Isolate::Iterate(v8::internal::RootVisitor*, v8::internal::ThreadLocalTop*)
      9    0.0%    0.0%  v8::internal::Heap::SizeOfObjects()
      9    0.0%    0.0%  v8::internal::FreeList::Reset()
      9    0.0%    0.0%  v8::internal::Bootstrapper::Iterate(v8::internal::RootVisitor*)
      9    0.0%    0.0%  v8::internal::AllSpaces::next()
      8    0.0%    0.0%  void node::StreamBase::JSMethod<node::LibuvStreamWrap, &(int node::StreamBase::WriteString<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
      8    0.0%    0.0%  v8::internal::tracing::ScopedTracer::~ScopedTracer()
      8    0.0%    0.0%  v8::internal::StoreBuffer::InsertDuringGarbageCollection(v8::internal::StoreBuffer*, unsigned char*)
      8    0.0%    0.0%  v8::internal::StandardFrame::ComputeCallerState(v8::internal::StackFrame::State*) const
      8    0.0%    0.0%  v8::internal::PagedSpace::Size()
      8    0.0%    0.0%  v8::internal::LargeObjectSpace::Available()
      8    0.0%    0.0%  v8::internal::Heap::YoungGenerationMutatorUtilization()
      8    0.0%    0.0%  v8::internal::GlobalHandles::PostGarbageCollectionProcessing(v8::internal::GarbageCollector, v8::GCCallbackFlags)
      8    0.0%    0.0%  v8::internal::CompilationCache::Iterate(v8::internal::RootVisitor*)
      8    0.0%    0.0%  v8::base::Mutex::Lock()
      7    0.0%    0.0%  v8::internal::PagedSpace::MergeCompactionSpace(v8::internal::CompactionSpace*)
      7    0.0%    0.0%  v8::internal::OptimizedFrame::Iterate(v8::internal::RootVisitor*) const
      7    0.0%    0.0%  v8::internal::Heap::StartIncrementalMarkingIfAllocationLimitIsReached(int, v8::GCCallbackFlags)
      7    0.0%    0.0%  v8::internal::Heap::CallGCPrologueCallbacks(v8::GCType, v8::GCCallbackFlags)
      7    0.0%    0.0%  v8::internal::GlobalHandles::PostScavengeProcessing(int)
      7    0.0%    0.0%  v8::internal::GlobalHandles::IdentifyWeakUnmodifiedObjects(bool (*)(v8::internal::Object**))
      7    0.0%    0.0%  v8::internal::GCTracer::NewSpaceAllocationThroughputInBytesPerMillisecond(double) const
      7    0.0%    0.0%  v8::internal::EntryFrame::GetCallerState(v8::internal::StackFrame::State*) const
      7    0.0%    0.0%  __pthread_enable_asynccancel
      6    0.0%    0.0%  void std::vector<v8::internal::MemoryChunk*, std::allocator<v8::internal::MemoryChunk*> >::_M_emplace_back_aux<v8::internal::MemoryChunk* const&>(v8::internal::MemoryChunk* const&)
      6    0.0%    0.0%  v8::internal::compiler::GraphReducer::ReduceTop()
      6    0.0%    0.0%  v8::internal::PagedSpace::TearDown()
      6    0.0%    0.0%  v8::internal::OldSpaces::next()
      6    0.0%    0.0%  v8::internal::MarkCompactCollector::CollectEvacuationCandidates(v8::internal::PagedSpace*)
      6    0.0%    0.0%  v8::internal::Malloced::Delete(void*)
      6    0.0%    0.0%  v8::internal::LargeObjectSpace::SizeOfObjects()
      6    0.0%    0.0%  v8::internal::IncrementalMarking::RecordWriteSlow(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Object*)
      6    0.0%    0.0%  v8::internal::Heap::UpdateMaximumCommitted()
      6    0.0%    0.0%  v8::internal::Heap::CommittedOldGenerationMemory()
      6    0.0%    0.0%  v8::internal::GlobalHandles::MarkNewSpaceWeakUnmodifiedObjectsPending(bool (*)(v8::internal::Heap*, v8::internal::Object**))
      6    0.0%    0.0%  v8::internal::ExitFrame::Iterate(v8::internal::RootVisitor*) const
      6    0.0%    0.0%  v8::internal::EternalHandles::PostGarbageCollectionProcessing(v8::internal::Heap*)
      6    0.0%    0.0%  strchrnul
      6    0.0%    0.0%  std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, std::allocator<char> const&)
      6    0.0%    0.0%  _IO_setb
      5    0.0%    0.0%  void v8::internal::BodyDescriptorBase::IterateBodyImpl<v8::internal::ObjectVisitor>(v8::internal::HeapObject*, int, int, v8::internal::ObjectVisitor*)
      5    0.0%    0.0%  v8::internal::TimedHistogram::Stop(v8::base::ElapsedTimer*, v8::internal::Isolate*)
      5    0.0%    0.0%  v8::internal::RelocIterator::next()
      5    0.0%    0.0%  v8::internal::Logger::ResourceEvent(char const*, char const*)
      5    0.0%    0.0%  v8::internal::Heap::SelectGarbageCollector(v8::internal::AllocationSpace, char const**)
      5    0.0%    0.0%  v8::internal::GCTracer::Print() const
      5    0.0%    0.0%  v8::internal::GCTracer::CombinedMarkCompactSpeedInBytesPerMillisecond()
      5    0.0%    0.0%  v8::internal::ExitFrame::ComputeCallerState(v8::internal::StackFrame::State*) const
      5    0.0%    0.0%  v8::base::OS::CommitPageSize()
      5    0.0%    0.0%  uv_async_init
      5    0.0%    0.0%  node::performance::MarkGarbageCollectionEnd(v8::Isolate*, v8::GCType, v8::GCCallbackFlags, void*)
      5    0.0%    0.0%  isnan
      5    0.0%    0.0%  int v8::internal::BinarySearch<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int*)
      5    0.0%    0.0%  char* std::string::_S_construct<char const*>(char const*, char const*, std::allocator<char> const&, std::forward_iterator_tag)
      4    0.0%    0.0%  v8::internal::TimedHistogram::Start(v8::base::ElapsedTimer*, v8::internal::Isolate*)
      4    0.0%    0.0%  v8::internal::StubFrame::type() const
      4    0.0%    0.0%  v8::internal::Scanner::Scan()
      4    0.0%    0.0%  v8::internal::Relocatable::PostGarbageCollectionProcessing(v8::internal::Isolate*)
      4    0.0%    0.0%  v8::internal::PagedSpace::EmptyAllocationInfo()
      4    0.0%    0.0%  v8::internal::NewSpace::PauseAllocationObservers()
      4    0.0%    0.0%  v8::internal::MemoryChunk::InsertAfter(v8::internal::MemoryChunk*)
      4    0.0%    0.0%  v8::internal::MarkCompactWeakObjectRetainer::RetainAs(v8::internal::Object*)
      4    0.0%    0.0%  v8::internal::MarkCompactCollector::Sweeper::ParallelSweepSpace(v8::internal::AllocationSpace, int, int)
      4    0.0%    0.0%  v8::internal::Malloced::New(unsigned long)
      4    0.0%    0.0%  v8::internal::LocalAllocationBuffer::Close()
      4    0.0%    0.0%  v8::internal::IncrementalMarking::UpdateMarkingWorklistAfterScavenge()
      4    0.0%    0.0%  v8::internal::Heap::GarbageCollectionReasonToString(v8::internal::GarbageCollectionReason)
      4    0.0%    0.0%  v8::internal::GlobalHandles::UpdateListOfNewSpaceNodes()
      4    0.0%    0.0%  v8::internal::GCTracer::CurrentAllocationThroughputInBytesPerMillisecond() const
      4    0.0%    0.0%  v8::internal::FreeList::SearchForNodeInList(v8::internal::FreeListCategoryType, unsigned long*, unsigned long)
      4    0.0%    0.0%  v8::internal::FreeList::FindNodeIn(v8::internal::FreeListCategoryType, unsigned long*)
      4    0.0%    0.0%  v8::internal::Factory::NewBlockContext(v8::internal::Handle<v8::internal::JSFunction>, v8::internal::Handle<v8::internal::Context>, v8::internal::Handle<v8::internal::ScopeInfo>)
      4    0.0%    0.0%  __libc_write
      4    0.0%    0.0%  __GI___pthread_mutex_destroy
      3    0.0%    0.0%  v8::internal::StubFrame::GetCallerStackPointer() const
      3    0.0%    0.0%  v8::internal::StoreBuffer::MoveAllEntriesToRememberedSet()
      3    0.0%    0.0%  v8::internal::Runtime_PushBlockContext(int, v8::internal::Object**, v8::internal::Isolate*)
      3    0.0%    0.0%  v8::internal::PauseAllocationObserversScope::PauseAllocationObserversScope(v8::internal::Heap*)
      3    0.0%    0.0%  v8::internal::OptimizedFrame::type() const
      3    0.0%    0.0%  v8::internal::NewSpace::ResumeAllocationObservers()
      3    0.0%    0.0%  v8::internal::JavaScriptFrame::GetCallerStackPointer() const
      3    0.0%    0.0%  v8::internal::Heap::CopyJSObject(v8::internal::JSObject*, v8::internal::AllocationSite*)
      3    0.0%    0.0%  v8::internal::Heap::ComputeFastPromotionMode(double)
      3    0.0%    0.0%  v8::internal::HandleScopeImplementer::IterateThis(v8::internal::RootVisitor*)
      3    0.0%    0.0%  v8::internal::HandleScopeImplementer::Iterate(v8::internal::RootVisitor*)
      3    0.0%    0.0%  v8::internal::GlobalHandles::DispatchPendingPhantomCallbacks(bool)
      3    0.0%    0.0%  v8::internal::GCTracer::Output(char const*, ...) const
      3    0.0%    0.0%  v8::internal::EternalHandles::IterateNewSpaceRoots(v8::internal::RootVisitor*)
      3    0.0%    0.0%  v8::internal::Debug::Iterate(v8::internal::RootVisitor*)
      3    0.0%    0.0%  node::HandleWrap::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.0%    0.0%  getpid
      2    0.0%    0.0%  void v8::internal::Code::BodyDescriptor::IterateBody<v8::internal::IncrementalMarkingMarkingVisitor>(v8::internal::HeapObject*, v8::internal::IncrementalMarkingMarkingVisitor*)
      2    0.0%    0.0%  v8::internal::compiler::SourcePositionTable::GetSourcePosition(v8::internal::compiler::Node*) const
      2    0.0%    0.0%  v8::internal::compiler::Node::InsertInput(v8::internal::Zone*, int, v8::internal::compiler::Node*)
